State,District,Market,StateDistrictMarket,Commodity,Variety,Grade,Arrival_Date,Min Price,Max Price,Modal Price
Gujarat,Amreli,Damnagar,GujaratAmreliDamnagar,Bhindi(Ladies Finger),Bhindi,FAQ,27/07/2023,4100,4500,4350
Gujarat,Amreli,Damnagar,GujaratAmreliDamnagar,Brinjal,Other,FAQ,27/07/2023,2200,3000,2450
Gujarat,Amreli,Damnagar,GujaratAmreliDamnagar,Cabbage,Cabbage,FAQ,27/07/2023,2350,3000,2700
Gujarat,Amreli,Damnagar,GujaratAmreliDamnagar,Cauliflower,Cauliflower,FAQ,27/07/2023,7000,7500,7250
Gujarat,Amreli,Damnagar,GujaratAmreliDamnagar,Coriander(Leaves),Coriander,FAQ,27/07/2023,8400,9000,8850
Gujarat,Amreli,Damnagar,GujaratAmreliDamnagar,Ginger(Green),Green Ginger,FAQ,27/07/2023,11000,14000,12500
Gujarat,Amreli,Damnagar,GujaratAmreliDamnagar,Green Chilli,Green Chilly,FAQ,27/07/2023,7200,8000,7550
Gujarat,Amreli,Damnagar,GujaratAmreliDamnagar,Guar,Gwar,FAQ,27/07/2023,6800,7500,7350
Gujarat,Amreli,Damnagar,GujaratAmreliDamnagar,Lemon,Lemon,FAQ,27/07/2023,1850,2550,2200
Gujarat,Amreli,Damnagar,GujaratAmreliDamnagar,Tomato,Local,FAQ,27/07/2023,9800,10000,9950
Haryana,Gurgaon,Gurgaon,HaryanaGurgaonGurgaon,Apple,Other,Large,27/07/2023,10000,20000,15000
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Apple,Apple,Medium,27/07/2023,20000,21000,20500
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Apple,Kullu Royal Delicious,Medium,27/07/2023,8000,13000,10500
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Banana,Banana - Ripe,Medium,27/07/2023,3500,4000,3750
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Beetroot,Beetroot,FAQ,27/07/2023,3500,4000,3750
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Bhindi(Ladies Finger),Other,FAQ,27/07/2023,3800,4000,3900
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Bitter gourd,Other,FAQ,27/07/2023,3500,4000,3750
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Bottle gourd,Bottle Gourd,FAQ,27/07/2023,2800,3800,3300
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Brinjal,Brinjal,FAQ,27/07/2023,5000,5200,5100
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Cabbage,Cabbage,FAQ,27/07/2023,2200,2500,2350
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Capsicum,Capsicum,FAQ,27/07/2023,11000,12000,11500
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Carrot,Carrot,FAQ,27/07/2023,3000,3500,3250
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Cauliflower,Cauliflower,FAQ,27/07/2023,4500,7000,4750
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Colacasia,Colacasia,FAQ,27/07/2023,4000,4500,4250
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Coriander(Leaves),Coriander,FAQ,27/07/2023,14000,15000,14500
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Cucumbar(Kheera),Other,FAQ,27/07/2023,3000,4000,3500
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,French Beans (Frasbean),Other,FAQ,27/07/2023,6000,7000,6500
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Garlic,Average,FAQ,27/07/2023,10000,13000,11500
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Ginger(Green),Other,FAQ,27/07/2023,19000,20000,19500
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Green Chilli,Green Chilly,FAQ,27/07/2023,5500,6000,5750
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Guava,Other,Medium,27/07/2023,8000,11500,9750
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Jack Fruit,Jack Fruit,Medium,27/07/2023,3500,4000,3750
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Lemon,Other,FAQ,27/07/2023,4500,4800,4650
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Mango,Dusheri,Medium,27/07/2023,3000,4500,3750
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Mango,Totapuri,Medium,27/07/2023,5000,6000,5500
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Mashrooms,Other,FAQ,27/07/2023,3000,3500,3250
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Mousambi(Sweet Lime),Other,Medium,27/07/2023,4500,5000,4750
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Onion,Other,FAQ,27/07/2023,2000,2200,2100
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Papaya,Other,Medium,27/07/2023,4200,4500,4350
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Pear(Marasebu),Other,Medium,27/07/2023,9000,10000,9500
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Peas Wet,Other,FAQ,27/07/2023,7000,8000,7500
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Pineapple,Other,Medium,27/07/2023,4500,5000,4750
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Plum,Other,Medium,27/07/2023,5000,6000,5500
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Potato,Other,FAQ,27/07/2023,1700,2100,1900
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Pumpkin,Other,FAQ,27/07/2023,1500,2500,2000
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Raddish,Raddish,FAQ,27/07/2023,2200,2500,2350
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Spinach,Spinach,FAQ,27/07/2023,4500,5000,4750
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Sponge gourd,Other,FAQ,27/07/2023,3000,3500,3250
Himachal Pradesh,Kangra,Palampur,Himachal PradeshKangraPalampur,Tinda,Tinda,FAQ,27/07/2023,4500,5000,4750
Kerala,Alappuzha,Harippad,KeralaAlappuzhaHarippad,Amaranthus,Other,FAQ,27/07/2023,4000,4500,4000
Kerala,Alappuzha,Harippad,KeralaAlappuzhaHarippad,Amphophalus,Other,FAQ,27/07/2023,5000,5500,5000
Kerala,Alappuzha,Harippad,KeralaAlappuzhaHarippad,Ashgourd,Other,FAQ,27/07/2023,3000,3500,3000
Kerala,Alappuzha,Harippad,KeralaAlappuzhaHarippad,Banana,Nendra Bale,Medium,27/07/2023,5000,5500,5000
Kerala,Alappuzha,Harippad,KeralaAlappuzhaHarippad,Banana - Green,Other,FAQ,27/07/2023,3000,3500,3000
Kerala,Alappuzha,Harippad,KeralaAlappuzhaHarippad,Beetroot,Other,FAQ,27/07/2023,4000,4500,4000
Kerala,Alappuzha,Harippad,KeralaAlappuzhaHarippad,Bhindi(Ladies Finger),Other,FAQ,27/07/2023,4000,4500,4000
Kerala,Alappuzha,Harippad,KeralaAlappuzhaHarippad,Bitter gourd,Other,FAQ,27/07/2023,5000,5500,5000
Kerala,Alappuzha,Harippad,KeralaAlappuzhaHarippad,Bottle gourd,Other,FAQ,27/07/2023,2000,2500,2000
Kerala,Alappuzha,Harippad,KeralaAlappuzhaHarippad,Brinjal,Other,FAQ,27/07/2023,3000,3500,3000
Kerala,Alappuzha,Harippad,KeralaAlappuzhaHarippad,Cabbage,Other,FAQ,27/07/2023,3000,3500,3000
Kerala,Alappuzha,Harippad,KeralaAlappuzhaHarippad,Capsicum,Other,FAQ,27/07/2023,9000,9500,9000
Kerala,Alappuzha,Harippad,KeralaAlappuzhaHarippad,Carrot,Other,FAQ,27/07/2023,6000,6500,6000
Kerala,Alappuzha,Harippad,KeralaAlappuzhaHarippad,Cauliflower,Other,FAQ,27/07/2023,4000,4500,4000
